Rank,Player,Team,Clean Sheets,Goals Conceded,Minutes,Matches,Country
1,Lukas Hradecky,Bayer 04 Leverkusen,15,24,2970,33,FIN
2,Alexander Nobel,VfB Stuttgart,11,36,2700,30,GER
3,Noah Atubolu,SC Freiburg,10,58,3060,34,GER
4,Gregor Kobel,Borussia Dortmund,7,34,2366,27,SUI
5,Kevin Trapp,Eintracht Frankfurt,7,48,2880,32,GER
5,Robin Zentner,1. FSV Mainz 05,7,48,2700,30,GER
7,Frederik RÃ¸nnow,1. FC Union Berlin,7,56,2970,33,DEN
8,Manuel Neuer,Bayern München,6,33,2054,23,GER
9,Michael Zetterer,SV Werder Bremen,6,37,2430,27,GER
10,Kevin Muller,1. FC Heidenheim 1846,6,55,3060,34,GER
11,Peter Gulacsi,RB Leipzig,5,9,1170,13,HUN
12,Janis Blaswich,RB Leipzig,5,30,1890,21,GER
13,Sven Ulreich,Bayern München,4,12,990,11,GER
14,Koen Casteels,VfL Wolfsburg,4,39,2250,25,BEL
15,Moritz Nicolas,Borussia Mönchengladbach,4,49,2430,27,GER
16,Marvin SchwÃ¤be,FC Köln,4,60,3060,34,GER
17,Manuel Riemann,VfL Bochum,4,70,2970,33,GER
18,Alexander Meyer,Borussia Dortmund,3,9,694,8,GER
19,Finn Dahmen,FC Augsburg,3,52,2790,31,GER
20,Marcel Schuhen,SV Darmstadt,3,76,2790,31,GER
21,Pavao Pervan,VfL Wolfsburg,2,17,810,9,AUT
22,Oliver Baumann,TSG Hoffenheim,2,66,3060,34,GER
23,Matej Kovar,Bayer 04 Leverkusen,1,0,90,1,CZE
24,Daniel Batz,1. FSV Mainz 05,1,3,360,4,GER
24,Fabian Bredlow,VfB Stuttgart,1,3,360,4,GER
26,Jiri Pavlenka,SV Werder Bremen,1,17,630,7,CZE
