Rank,Player,Team,Red Cards,Yellow Cards,Minutes,Matches,Country
1,Maxence Lacroix,VfL Wolfsburg,3,3,2364,28,FRA
2,Matej Maglica,SV Darmstadt,2,7,1701,26,CRO
3,Kevin Volland,1. FC Union Berlin,2,1,1346,26,GER
3,Tuta,Eintracht Frankfurt,2,1,2605,30,BRA
5,Dominik Kohr,1. FSV Mainz 05,1,13,2190,31,GER
6,Nicolas Höfler,SC Freiburg,1,10,2332,28,GER
7,Ozan Kabak,TSG Hoffenheim,1,9,2290,28,TUR
7,Xavi Simons,RB Leipzig,1,9,2673,32,NED
9,Grischa Prömel,TSG Hoffenheim,1,8,2146,28,GER
10,Julian Chabot,FC Köln,1,7,2707,32,GER
10,Klaus Gjasula,SV Darmstadt,1,7,1366,22,ALB
10,Robin Gosens,1. FC Union Berlin,1,7,2297,30,GER
13,John Anthony Brooks,TSG Hoffenheim,1,6,1539,21,USA
14,Ansgar Knauff,Eintracht Frankfurt,1,5,2117,31,GER
14,Jens Stage,SV Werder Bremen,1,5,2334,30,DEN
14,Mads Valentin Pedersen,FC Augsburg,1,5,1783,27,DEN
14,Moritz Jenz,VfL Wolfsburg,1,5,1745,22,GER
14,Rani Khedira,1. FC Union Berlin,1,5,1350,20,GER
19,Anthony Jung,SV Werder Bremen,1,4,2583,31,GER
19,Fabian Holland,SV Darmstadt,1,4,1847,23,GER
19,Jan Thielmann,FC Köln,1,4,1588,22,GER
19,Karim Adeyemi,Borussia Dortmund,1,4,911,21,GER
19,Kouadio Koné,Borussia Mönchengladbach,1,4,1565,22,FRA
19,Mats Hummels,Borussia Dortmund,1,4,1581,25,GER
19,Philipp Mwene,1. FSV Mainz 05,1,4,2003,23,AUT
26,Felix Uduokhai,FC Augsburg,1,3,2922,33,GER
26,Manuel Gulde,SC Freiburg,1,3,2048,27,GER
26,Marcel Sabitzer,Borussia Dortmund,1,3,1964,25,AUT
26,Mario Götze,Eintracht Frankfurt,1,3,2075,30,GER
26,Merlin Röhl,SC Freiburg,1,3,1483,24,GER
26,Niels Nkounkou,Eintracht Frankfurt,1,3,1301,29,FRA
26,Patrick Wimmer,VfL Wolfsburg,1,3,594,14,AUT
33,Christopher Trimmel,1. FC Union Berlin,1,2,1653,26,AUT
33,Felix Passlack,VfL Bochum,1,2,966,15,GER
33,Jessic Ngankam,1. FSV Mainz 05,1,2,450,22,GER
33,Kilian Sildillia,SC Freiburg,1,2,1804,27,FRA
33,Maximilian Wöber,Borussia Mönchengladbach,1,2,2070,25,AUT
33,Ramy Bensebaini,Borussia Dortmund,1,2,1030,17,ALG
39,András Schäfer,1. FC Union Berlin,1,1,1218,20,HUN
39,Arne Engels,FC Augsburg,1,1,1398,32,BEL
39,Brenden Aaronson,1. FC Union Berlin,1,1,1263,30,USA
39,Dayot Upamecano,Bayern München,1,1,1763,25,FRA
39,Joshua Kimmich,Bayern München,1,1,2185,28,GER
39,Marius Bülter,TSG Hoffenheim,1,1,1346,30,GER
39,Moritz-Broni Kwarteng,VfL Bochum,1,1,275,11,GER
39,Pascal Stenzel,VfB Stuttgart,1,1,1068,23,GER
39,Stanley N'Soki,TSG Hoffenheim,1,1,632,11,FRA
48,Mathias Olesen,FC Köln,1,0,107,6,LUX
48,Nikola Dovedan,1. FC Heidenheim 1846,1,0,646,21,AUT
48,Rasmus Carstensen,FC Köln,1,0,1658,23,DEN
