Rank,Team,Expected Goals,Goals,Matches,Country
1,Bayern München,86.9,94,34,GER
2,Bayer Leverkusen,74.7,89,34,GER
3,VfB Stuttgart,71.8,78,34,GER
4,RB Leipzig,66.9,77,34,GER
5,Borussia Dortmund,64.8,68,34,GER
6,TSG Hoffenheim,54.4,66,34,GER
7,SC Freiburg,50,45,34,GER
8,Borussia Mönchengladbach,47.4,56,34,GER
9,Eintracht Frankfurt,47.4,51,34,GER
10,Werder Bremen,47.2,48,34,GER
11,FC Augsburg,46.7,50,34,GER
12,Mainz 05,45.2,39,34,GER
13,VfL Bochum,45.1,42,34,GER
14,Union Berlin,40.5,33,34,GER
15,FC Köln,40.1,28,34,GER
16,FC Heidenheim,39.9,50,34,GER
17,Wolfsburg,39.7,41,34,GER
18,SV Darmstadt,32.7,30,34,GER
