Rank,Team,Goals Conceded per Match,Total Goals Conceded,Matches,Country
1,Bayer Leverkusen,0.7,24,34,GER
2,VfB Stuttgart,1.1,39,34,GER
2,RB Leipzig,1.1,39,34,GER
4,Borussia Dortmund,1.3,43,34,GER
5,Bayern München,1.3,45,34,GER
6,Eintracht Frankfurt,1.5,50,34,GER
7,Mainz 05,1.5,51,34,GER
8,Werder Bremen,1.6,54,34,GER
9,FC Heidenheim,1.6,55,34,GER
10,Wolfsburg,1.6,56,34,GER
11,Union Berlin,1.7,58,34,GER
11,SC Freiburg,1.7,58,34,GER
13,FC Köln,1.8,60,34,GER
13,FC Augsburg,1.8,60,34,GER
15,TSG Hoffenheim,1.9,66,34,GER
16,Borussia Mönchengladbach,2,67,34,GER
17,VfL Bochum,2.2,74,34,GER
18,SV Darmstadt,2.5,86,34,GER
