Rank,Team,Red Cards,Yellow Cards,Matches,Country
1,Union Berlin,7,61,34,GER
2,Wolfsburg,5,82,34,GER
3,TSG Hoffenheim,5,78,34,GER
4,Eintracht Frankfurt,5,62,34,GER
5,SV Darmstadt,4,83,34,GER
6,"FC Köln	",4,65,34,GER
7,SC Freiburg,4,62,34,GER
8,Borussia Dortmund,4,55,34,GER
9,Mainz 05,3,97,34,GER
10,FC Augsburg,3,69,34,GER
11,VfL Bochum,2,97,34,GER
12,Werder Bremen,2,73,34,GER
13,Borussia Mönchengladbach,2,64,34,GER
14,"Bayern München	",2,45,34,GER
15,RB Leipzig,1,59,34,GER
16,FC Heidenheim,1,54,34,GER
16,VfB Stuttgart,1,54,34,GER
